Project name,State,Country,Type,Sub-Category,Year started,Year ended,Duration (Years),Budget,Restarts,Cost overruns,Time overruns,Content deficiency,User Involvement,Executive Management,Statement of Requirements,Planning,Expectations,Requirements & Specifications,Changing Requirements & Specifications,Technical Competence,Resources Availability,IT Management,Technical Literacy,User satisfaction
OVERS ICR,Successful,USA,Government,technology,2021,2024,3,604943,n/a,Yes,No,No,Low,High,Clear,n/a,Realistic,Complete,n/a,High,n/a,Poor,High,High
SERV-OR,Successful,USA,Government,technology,2021,2024,3,1581300,n/a,No,Yes,No,High,High,Clear,Proper,Realistic,n/a,Stable,High,Adequate,Strong,High,n/a
TWIST To Web,Successful,USA,Government,technology,2016,2024,8,1407111,n/a,Yes,No,No,High,High,Clear,Proper,n/a,Complete,Stable,High,Adequate,Strong,High,High
Ballast Water Database Replacement Project,Successful,USA,Government,Data Management,2020,2023,3,146976,n/a,Yes,No,No,High,Poor,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Poor,High,High
Environmental Data Management System (EDMS)/Your DEQ Online (YDO),Successful,USA,Government,Data Management,2018,2023,5,8633805,n/a,No,No,Yes,High,High,Unclear,Proper,Unrealistic,Complete,Stable,High,Adequate,Strong,Low,High
AssetWorks,Successful,USA,Government,technology,2020,2024,4,15022313,n/a,No,Yes,No,High,High,Clear,n/a,Realistic,Incomplete,Stable,High,Adequate,Strong,High,High
Electronic Licensing System,Successful,USA,Government,technology,2017,2023,6,1589716,n/a,No,Yes,No,n/a,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,High,Low
Volunteer and Event (VEM) Project,Successful,USA,Government,technology,2019,2024,5,18913512,n/a,No,No,Yes,High,High,Unclear,Proper,n/a,Complete,Stable,High,Adequate,Strong,High,High
OPRD Outdoor Recreation Solution,Successful,USA,Government,technology,2019,2025,6,2788572,n/a,No,No,No,High,High,Clear,Poor,Realistic,Complete,n/a,High,Adequate,Poor,High,High
OSBEELS System Replacement,Successful,USA,Government,technology,2020,2021,1,700000,n/a,No,Yes,No,High,High,Clear,Proper,Realistic,n/a,Stable,High,Adequate,Strong,Low,High
DOC Capital Renewal Camera Project,Successful,USA,Government,technology,2018,2023,5,1874712,n/a,No,No,No,High,High,Clear,Proper,Unrealistic,Complete,Stable,High,Adequate,Strong,High,Low
DOC Communications P25 Radio Upgrade,Successful,USA,Government,technology,2018,2023,5,11114950,n/a,No,No,No,Low,Poor,Clear,n/a,Realistic,Incomplete,n/a,High,Adequate,Strong,High,High
Elite Community Financials,Successful,USA,Government,Finance,2019,2023,4,3937039,n/a,No,Yes,No,High,High,Unclear,Proper,Realistic,Complete,Stable,n/a,n/a,Strong,High,High
Victim Automated NotifiCation System (VANS),Successful,USA,Government,technology,2021,2023,2,621000,n/a,No,No,No,High,High,Clear,Poor,Realistic,n/a,n/a,High,Adequate,Poor,Low,High
OEM Grant Management Modernization,Successful,USA,Government,technology,2023,2023,0,757897,n/a,No,Yes,Yes,n/a,High,Clear,Proper,Unrealistic,Complete,Stable,High,Adequate,Strong,High,n/a
LEDS 20/20 (CRIMEvue Replacement),Successful,USA,Government,technology,2015,2025,10,993633,n/a,No,No,No,Low,Poor,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,High,High
DMV - ATD Replacement,Successful,USA,Government,technology,2019,2024,5,710000,n/a,Yes,Yes,No,High,High,Clear,Proper,Realistic,Incomplete,Stable,n/a,Adequate,Strong,High,Low
DMV - STP Kiosks,Successful,USA,Government,technology,2020,2024,4,85574641,n/a,No,Yes,No,High,High,Clear,n/a,n/a,Complete,Stable,High,Adequate,Poor,High,High
ETS - AASHTOWare Project One Source of Truth,Successful,USA,Government,technology,2019,2024,5,11700000,n/a,No,Yes,No,High,High,n/a,Proper,Realistic,Complete,Stable,High,Adequate,Strong,High,High
ETS - CHAMPS Rewrite,Successful,USA,Government,technology,2016,2023,7,860000,n/a,Yes,Yes,No,High,Poor,Clear,Poor,Realistic,Incomplete,Stable,High,Adequate,Strong,High,Low
ODOT/PDCC CD Interconnect,Successful,USA,Government,technology,2021,2023,2,146,n/a,No,Yes,Yes,n/a,High,Clear,Proper,Realistic,Complete,n/a,High,Adequate,Strong,High,High
ODOT Public Records Management System,Successful,USA,Government,technology,2021,2023,2,n/a,n/a,Yes,No,No,Low,High,n/a,Proper,Realistic,Complete,Stable,High,Adequate,Poor,High,High
Safety Grants Management,Successful,USA,Government,technology,2020,2023,3,100,n/a,No,Yes,No,High,High,Clear,Proper,n/a,Incomplete,Stable,High,Adequate,Strong,Low,n/a
Modernization Program - UI Modernization Project,Successful,USA,Government,technology,2018,2024,6,n/a,n/a,No,Yes,No,Low,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,High,High
HAF (Homeowner Assistance Fund),Successful,USA,Government,Finance,2021,2022,1,9961,n/a,No,Yes,No,High,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,n/a,High,High
HCM Implementation,Successful,Australia,Government,Workforce Management,2018,2019,1,$2890000 AUD,No,Yes,Yes,Yes,High,High,Clear,Poor,Realistic,Complete,Stable,High,Adequate,Poor,Low,n/a
50 Franklin Street Fit-out,Successful,Australia,Government,Organisational Management,2018,2018,0,n/a,No,No,No,No,High,High,Clear,Proper,Unrealistic,Incomplete,Stable,High,Adequate,Strong,high,n/a
AV Uplift TAC,Successful,Australia,Government,Communication,2020,2020,0,n/a,No,No,No,No,High,Poor,Clear,Proper,Realistic,Complete,Stable,High,n/a,Strong,high,High
Acumen Phase 0,Successful,Australia,Government,Data Management,2022,2022,0,$100000 AUD,No,No,No,No,Low,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,high,n/a
Asset Register Implementation Phase 1 - 2,Successful,Australia,Government,Assets/Materials Management,2018,2018,0,$1699696 AUD,No,No,No,No,High,High,n/a,Proper,Unrealistic,Complete,Stable,High,Adequate,Poor,high,High
Asset Register Phase 3,Successful,Australia,Government,Assets/Materials Management,2021,2021,0,$75000 AUD,No,No,No,No,High,Poor,Clear,Poor,Realistic,Complete,Stable,High,Adequate,Strong,Low,High
Asset management system upgrade,Successful,Australia,Government,Assets/Materials Management,2017,2018,1,n/a,No,No,No,Yes,High,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,high,n/a
Australian Communications and Media Authority (ACMA) Compliance,Successful,Australia,Government,Communication,2013,2017,4,$10.9 million AUD,n/a,n/a,Yes,No,n/a,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,high,n/a
Barwon Health North - ICT Infrastructure,Successful,Australia,Government,Development and Integration,2014,2020,6,n/a,n/a,n/a,Yes,No,n/a,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,high,High
Barwon Health Optima Rostering Project,Successful,Australia,Government,Workforce Management,2017,2018,1,$3.55 million AUD,No,No,No,No,n/a,High,Clear,Proper,Realistic,Complete,Stable,High,Adequate,Strong,high,n/a
